entrezID	chromo	start	end	assembly	strand	symbol
100287102	chr1	11874	14409	GRCh37.p13	+	DDX11L1
653635	chr1	14362	29370	GRCh37.p13	-	WASH7P
100302278	chr1	30366	30503	GRCh37.p13	+	MIR1302-2
645520	chr1	34611	36081	GRCh37.p13	-	FAM138A
79504	chr1	52453	53396	GRCh37.p13	+	OR4G4P
403263	chr1	63016	63885	GRCh37.p13	+	OR4G11P
79501	chr1	69091	70008	GRCh37.p13	+	OR4F5
101927589	chr1	92224	133748	GRCh37.p13	-	LOC101927589
100420257	chr1	131125	135677	GRCh37.p13	+	CICP27
729737	chr1	134773	140566	GRCh37.p13	-	LOC729737
100996442	chr1	142447	174392	GRCh37.p13	-	LOC100996442
728481	chr1	227770	228778	GRCh37.p13	-	RPL23AP21
100132287	chr1	320162	328581	GRCh37.p13	+	LOC100132287
100288667	chr1	327463	332225	GRCh37.p13	-	CICP7
729759	chr1	367659	368597	GRCh37.p13	+	OR4F29
101929192	chr1	446168	459929	GRCh37.p13	+	LOC101929192
101929209	chr1	462424	471009	GRCh37.p13	+	LOC101929209
728517	chr1	471014	471268	GRCh37.p13	+	RPL23AP24
101928626	chr1	562760	564389	GRCh37.p13	-	LOC101928626
100887749	chr1	564442	564820	GRCh37.p13	+	MTND1P23
100652939	chr1	565020	566066	GRCh37.p13	+	MTND2P28
81399	chr1	621096	622034	GRCh37.p13	-	OR4F16
100132630	chr1	657426	661202	GRCh37.p13	+	CICP3
100133331	chr1	661139	665731	GRCh37.p13	-	LOC100133331
101928706	chr1	670970	672114	GRCh37.p13	-	LOC101928706
101060494	chr1	674381	676182	GRCh37.p13	-	LOC101060494
100288069	chr1	678203	714068	GRCh37.p13	-	LOC100288069
100287934	chr1	721100	722507	GRCh37.p13	+	LOC100287934
400728	chr1	752751	755214	GRCh37.p13	+	FAM87B
79854	chr1	761586	762902	GRCh37.p13	-	LINC00115
643837	chr1	762971	794826	GRCh37.p13	+	LOC643837
284593	chr1	803451	812182	GRCh37.p13	-	FAM41C
388579	chr1	808671	809894	GRCh37.p13	+	TUBB8P11
284600	chr1	846815	850162	GRCh37.p13	+	LOC284600
100130417	chr1	852953	854817	GRCh37.p13	-	LOC100130417
101928801	chr1	856660	859125	GRCh37.p13	-	LOC101928801
148398	chr1	859993	879961	GRCh37.p13	+	SAMD11
26155	chr1	879583	894679	GRCh37.p13	-	NOC2L
339451	chr1	895967	901099	GRCh37.p13	+	KLHL17
84069	chr1	901872	910488	GRCh37.p13	+	PLEKHN1
84808	chr1	910579	917473	GRCh37.p13	-	C1orf170
57801	chr1	934342	936608	GRCh37.p13	-	HES4
100270829	chr1	943454	943609	GRCh37.p13	-	RPL39P12
9636	chr1	948847	949920	GRCh37.p13	+	ISG15
375790	chr1	955503	991499	GRCh37.p13	+	AGRN
100288175	chr1	995095	1001833	GRCh37.p13	+	LOC100288175
401934	chr1	1007126	1009687	GRCh37.p13	-	RNF223
54991	chr1	1017198	1051736	GRCh37.p13	-	C1orf159
254099	chr1	1072397	1079436	GRCh37.p13	+	LOC254099
406984	chr1	1102484	1102578	GRCh37.p13	+	MIR200B
406983	chr1	1103243	1103332	GRCh37.p13	+	MIR200A
554210	chr1	1104385	1104467	GRCh37.p13	+	MIR429
100506376	chr1	1108442	1112585	GRCh37.p13	-	TTLL10-AS1
254173	chr1	1109286	1133315	GRCh37.p13	+	TTLL10
8784	chr1	1138888	1142163	GRCh37.p13	-	TNFRSF18
7293	chr1	1146706	1149703	GRCh37.p13	-	TNFRSF4
51150	chr1	1152288	1167447	GRCh37.p13	-	SDF4
126792	chr1	1167629	1170421	GRCh37.p13	+	B3GALT6
388581	chr1	1177826	1182102	GRCh37.p13	-	FAM132A
118424	chr1	1189292	1209234	GRCh37.p13	-	UBE2J2
101928895	chr1	1209454	1214610	GRCh37.p13	+	LOC101928895
6339	chr1	1215816	1227409	GRCh37.p13	+	SCNN1D
116983	chr1	1227764	1243304	GRCh37.p13	-	ACAP3
126789	chr1	1243962	1247057	GRCh37.p13	+	PUSL1
54973	chr1	1246965	1260067	GRCh37.p13	-	CPSF3L
80772	chr1	1260136	1264276	GRCh37.p13	+	GLTPD1
83756	chr1	1266726	1269844	GRCh37.p13	+	TAS1R3
1855	chr1	1270658	1284509	GRCh37.p13	-	DVL1
101929103	chr1	1284829	1288669	GRCh37.p13	-	LOC101929103
54587	chr1	1288071	1297183	GRCh37.p13	-	MXRA8
54998	chr1	1309110	1310818	GRCh37.p13	-	AURKAIP1
81669	chr1	1321091	1334718	GRCh37.p13	-	CCNL2
148413	chr1	1334910	1337426	GRCh37.p13	+	LOC148413
55052	chr1	1337276	1342693	GRCh37.p13	-	MRPL20
441869	chr1	1353800	1356824	GRCh37.p13	-	ANKRD65
643965	chr1	1361508	1363167	GRCh37.p13	+	TMEM88B
64856	chr1	1370903	1378262	GRCh37.p13	+	VWA1
219293	chr1	1378152	1405538	GRCh37.p13	+	ATAD3C
83858	chr1	1407139	1444852	GRCh37.p13	+	ATAD3B
55210	chr1	1447523	1470067	GRCh37.p13	+	ATAD3A
339453	chr1	1470158	1475740	GRCh37.p13	-	TMEM240
29101	chr1	1477053	1510262	GRCh37.p13	-	SSU72
643988	chr1	1533388	1535476	GRCh37.p13	-	C1orf233
142678	chr1	1550795	1565990	GRCh37.p13	+	MIB2
8510	chr1	1567060	1570030	GRCh37.p13	+	MMP23B
984	chr1	1571100	1590473	GRCh37.p13	-	CDK11B
728661	chr1	1591486	1624243	GRCh37.p13	-	SLC35E2B
100288379	chr1	1604714	1605836	GRCh37.p13	+	LOC100288379
8511	chr1	1631378	1633247	GRCh37.p13	+	MMP23A
728642	chr1	1633822	1655999	GRCh37.p13	-	CDK11A
9906	chr1	1656277	1677438	GRCh37.p13	-	SLC35E2
101928920	chr1	1658824	1662074	GRCh37.p13	-	LOC101928920
100129381	chr1	1667250	1668686	GRCh37.p13	+	LOC100129381
65220	chr1	1682671	1711508	GRCh37.p13	-	NADK
2782	chr1	1716725	1822552	GRCh37.p13	-	GNB1
163688	chr1	1846266	1848733	GRCh37.p13	+	CALML6
339456	chr1	1849029	1850740	GRCh37.p13	-	TMEM52
85452	chr1	1853390	1935276	GRCh37.p13	-	KIAA1751
2563	chr1	1950768	1962192	GRCh37.p13	+	GABRD
5590	chr1	1981909	2116834	GRCh37.p13	+	PRKCZ
101929017	chr1	2072523	2076718	GRCh37.p13	-	LOC101929017
100506504	chr1	2113250	2115812	GRCh37.p13	-	LOC100506504
199990	chr1	2115899	2144159	GRCh37.p13	-	C1orf86
6497	chr1	2160134	2241652	GRCh37.p13	+	SKI
79906	chr1	2251719	2323190	GRCh37.p13	-	MORN1
100129534	chr1	2281853	2284100	GRCh37.p13	-	LOC100129534
11079	chr1	2323214	2336883	GRCh37.p13	+	RER1
5192	chr1	2336241	2344010	GRCh37.p13	-	PEX10
9651	chr1	2407754	2436964	GRCh37.p13	+	PLCH2
55229	chr1	2439975	2458061	GRCh37.p13	-	PANK4
388585	chr1	2460184	2461684	GRCh37.p13	-	HES5
